depolarizing_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive
0.06,0.0,0.04416,0.2610508161399418,0.4778983677201164,0.32085561497326204,0.08204789430222954,0.08047120867516615,0.001756042250364286,4.99776316877491,0.5450955940797164,0.7120559205381811,0.2617150108040804,0.0,0.0,0.08047120867516615
0.066,0.0,0.047496000000000003,0.2756633836649648,0.4486732326700704,0.34171122994652403,0.08824607762180017,0.09715130314347842,0.0016695095561548557,4.8708558416743255,0.5145266904030209,0.6939748089348481,0.22877732938986595,0.0,0.0,0.09715130314347842
0.07200000000000001,0.0,0.05083200000000001,0.2899207752939804,0.42015844941203917,0.3625668449197861,0.09444426094137078,0.11356501568978522,0.001590614788713017,4.752463876338537,0.4866559928758192,0.6771069228396845,0.20021404715683283,0.0,0.0,0.11356501568978522
0.078,0.0,0.054168,0.3038451680998805,0.392309663800239,0.38342245989304813,0.10064244426094136,0.12972897911875533,0.0015182659370528858,4.641464268633365,0.4610977331021732,0.6612922623256174,0.1752078407048879,0.0,0.0,0.12972897911875533
0.084,0.0,0.057504,0.31745599426779536,0.3650880114644093,0.4042780748663102,0.10684062758051197,0.14565776756923654,0.001451583195106989,4.536942055971619,0.4375411070885581,0.6464004681688745,0.15313352373862216,0.0,0.0,0.14565776756923654
0.09,0.0,0.06084,0.33077041992274825,0.3384591601545035,0.4251336898395721,0.11303881090008257,0.16136425563499626,0.0013898479400673226,4.438141884984303,0.41573225111793083,0.6323239214566884,0.1335046137710129,0.0,0.0,0.16136425563499626
0.096,0.0,0.064176,0.3438037186362821,0.31239256272743576,0.4459893048128342,0.11923699421965317,0.17685989849469175,0.001332466098984797,4.344432904511286,0.3954613004805009,0.6189727417188609,0.11593682160773551,0.0,0.0,0.17685989849469175
0.10200000000000001,0.0,0.06751200000000002,0.3565695670723214,0.2868608658553572,0.4668449197860963,0.1254351775392238,0.19215495364626628,0.0012789413055506681,4.255282812013091,0.37655290672538533,0.6062710891922912,0.10012251461656486,0.0,0.0,0.19215495364626628
0.108,0.0,0.070848,0.3690802820633815,0.261839435873237,0.4877005347593583,0.13163336085879437,0.20725865871410637,0.0012288548750763618,4.170238330353373,0.3588591635377183,0.5941543832520723,0.0858124838838618,0.0,0.0,0.20725865871410637
0.114,0.0,0.07418400000000001,0.38134701294143314,0.23730597411713372,0.5085561497326203,0.13783154417836502,0.22217937569719015,0.0011818506262823124,4.088910292683875,0.34225424481990796,0.582567177381628,0.07280268582510394,0.0,0.0,0.22217937569719015
0.12,0.0,0.07752,0.3933798992073946,0.21324020158521084,0.5294117647058824,0.14402972749793558,0.2369247092212063,0.00113762321193043,4.010962088653819,0.3266302823217582,0.5714615130472924,0.060924441876103276,1.0,0.3162212736648547,0.553145982886061
0.126,0.0,0.08085600000000001,0.40518820101295855,0.1896235979740829,0.5502673796791443,0.1502279108175062,0.25150160439992436,0.0010959090315207291,3.936100601854653,0.3118941554214417,0.5607956285114505,0.05003708668888574,1.0,0.3024201862953826,0.5539217906953069
0.132,0.0,0.08419200000000002,0.4167804080740909,0.16643918385181822,0.5711229946524065,0.1564260941370768,0.26591642852031866,0.0010564790722397128,3.864069020377444,0.2979649620888012,0.5505329345172595,0.04002237895681355,1.0,0.28945880656466505,0.5553752350849837
0.138,0.0,0.08752800000000001,0.42816433129678055,0.1436713374064389,0.5919786096256685,0.1626242774566474,0.28017503976188096,0.0010191332092403566,3.794641074229884,0.28477200537827296,0.5406411932650836,0.03078020032371271,1.0,0.277252660023777,0.557427699785658
0.14400000000000002,0.0,0.09086400000000003,0.43934718041483584,0.12130563917032833,0.6128342245989306,0.16882246077621804,0.2942828454249675,0.0009836956238655937,3.727616372685091,0.2722531748512356,0.5310918541016247,0.02222520855693139,1.0,0.2657287717068856,0.5600116171318531
