depolarizing_noise,phase_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,path_coordinate,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive,delta_coord,action_base_increment,action_predictive_increment,action_base,action_predictive,normalized_action,action_velocity,action_acceleration,collapse,trajectory_name,dL_dq,dL_dk,d2L_path,stationarity_residual
0.08,0.06,0.6000000000000001,0.1052,0.48526573253619965,0.02946853492760071,0.3903743315508022,0.6000000000000001,0.6000000000000001,0.39202416571231014,0.000966503973956191,0.5192823746496695,0.4627770088922699,0.7726567637957933,0.4981996844253515,1.0,0.6428688244637082,1.0348929901760182,0.050000000000000044,0.019601208285615523,0.051744649508800956,0.15933703649386707,0.35581749747605407,0.22238593592253378,1.1278178242237953,-1.273600239459359,0,attack_dominant,41.880176215087715,-6.790144879775493,-77.14924652072024,48.67032109486321
0.08,0.06,0.65,0.10936,0.49798250184187803,0.004034996316243933,0.3903743315508022,0.6500000000000001,0.65,0.414061742691569,0.0004751051681594016,0.5086707722271362,0.22748768194928576,0.7568674229925093,1.0,1.0,0.8066809155800028,1.2207426582715717,0.04999999999999993,0.02070308713457842,0.061037132913578505,0.1800401236284455,0.41685463038963255,0.25263916993311064,0.8262362672230954,-6.877008063876025,0,attack_dominant,-72.49556658670616,167.81485265760438,-112.06815648833367,240.31041924431054
0.08,0.06,0.7000000000000001,0.11352000000000001,0.5104428853270249,0.0,0.3903743315508022,0.7000000000000002,0.7000000000000001,0.4317298761746192,0.00013203568497797405,0.08069992632487859,0.0632207223225742,0.12007598747176025,0.6291453015682618,0.0,0.0,0.4317298761746192,0.050000000000000044,0.02158649380873098,0.02158649380873098,0.20162661743717647,0.4384411241983635,0.25790654364609616,0.44011701783619284,-3.6938705330838806,1,attack_dominant,-92.81712725646676,16778.39408625319,63.662750615842825,16871.211213509654
0.08,0.06,0.75,0.11768,0.5226551233931551,0.0,0.3903743315508022,0.7500000000000001,0.75,0.4485041594977648,2.6049912435363376e-06,0.0,0.0012473099835686183,0.0,0.10262604612635952,0.0,0.0,0.4485041594977648,0.04999999999999993,0.02242520797488821,0.02242520797488821,0.22405182541206467,0.46086633217325174,0.26335218981328673,0.45684921391470645,0.3338146262728703,1,attack_dominant,4.022162518873685,0.0,80.5537031871354,4.022162518873685
0.08,0.06,0.8,0.12184000000000002,0.5346268629185368,0.0,0.3903743315508022,0.8000000000000002,0.8,0.46519426833164834,0.0,0.0,0.0,0.0,0.018239613897748114,0.0,0.0,0.46519426833164834,0.050000000000000044,0.023259713416582437,0.023259713416582437,0.2473115388286471,0.4841260455898342,0.26895891421657453,0.47349848046347986,0.33218009460398434,1,attack_dominant,4.002227535762842,0.0,-0.03269063337810074,4.002227535762842
0.08,0.06,0.8500000000000001,0.12600000000000003,0.5463652179575746,0.0,0.3903743315508022,0.8500000000000003,0.8500000000000001,0.48180269259531167,0.0,0.0,0.0,0.0,0.017278641683897648,0.0,0.0,0.48180269259531167,0.050000000000000044,0.024090134629765603,0.024090134629765603,0.2714016734584127,0.5082161802195998,0.2747114487673512,0.4900672233751049,0.33059208063559886,1,attack_dominant,3.9828708922173064,0.0,-0.03176027936755821,3.9828708922173064
0.08,0.06,0.9,0.13016000000000003,0.5578768224135309,0.0,0.3903743315508022,0.9000000000000002,0.9,0.4983317541548963,0.0,0.0,0.0,0.0,0.016380667034689673,0.0,0.0,0.4983317541548963,0.04999999999999993,0.02491658770774478,0.02491658770774478,0.2963182611661575,0.5331327679273445,0.2805961936459708,0.5065576885270398,0.3290475348499804,1,attack_dominant,3.964054123061466,0.0,-0.0308909157124857,3.964054123061466
0.08,0.06,0.9500000000000001,0.13432000000000002,0.5691678759686356,0.0,0.3903743315508022,0.9500000000000003,0.9500000000000001,0.514783622899183,0.0,0.0,0.0,0.0,0.007973325182597213,0.0,0.0,0.514783622899183,0.050000000000000044,0.025739181144959173,0.025739181144959173,0.32205744231111666,0.5588719490723038,0.2866009995242583,0.5229719768601031,0.24602642293979837,1,attack_dominant,3.945742387755189,0.0,-0.022751446019854793,3.945742387755189
0.08,0.06,1.0,0.13848,0.5802441843167399,0.0,0.3903743315508022,1.0,1.0,0.5311603308210193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311603308210193,0.04999999999999993,0.02655801654105093,0.02655801654105093,0.3486154588521676,0.5854299656133547,0.29271498280667735,0.5311603308210195,0.163767079218329,1,attack_dominant,3.9367086350568368,-16376.707921836321,-0.015032164490094167,16380.644630471379
0.0,0.04,0.0,0.0072,0.06159798868964665,0.8768040226207067,0.0748663101604278,0.0,0.0,-0.13882824645067945,0.0032316591123892715,0.0,0.342504567673929,0.0,1.0,0.0,0.0,-0.13882824645067945,1e-06,-1.3882824645067944e-07,-1.3882824645067944e-07,-1.3882824645067944e-07,-1.3882824645067944e-07,-1.3882824645067944e-07,-0.11402474563913079,4.072041930507343,0,mixed_escalation,6.95789407864359,-0.5119677163674583,334.1805882574921,7.469861795011048
